80D4F6 20 30 D5    JSR $D530     [80D530] A:0E01 X:0000 Y:00BB S:0133 D:0E68 DB:86 nvMXdizC V:247 H:172 F:10
							8490D8 85 02       STA $02       [000002] A:FF67 X:0E68 Y:CFB8 S:011A D:0000 DB:86 nvMxdizc V:250 H: 59 F:10
							8490DA 29 F0       AND #$F0               A:FF67 X:0E68 Y:CFB8 S:011A D:0000 DB:86 nvMxdizc V:250 H: 64 F:10
							8490DC 85 0A       STA $0A       [00000A] A:FF60 X:0E68 Y:CFB8 S:011A D:0000 DB:86 nvMxdizc V:250 H: 67 F:10
							8490DE B5 09       LDA $09,X     [000E71] A:FF60 X:0E68 Y:CFB8 S:011A D:0000 DB:86 nvMxdizc V:250 H: 72 F:10
							8490E0 65 03       ADC $03       [000003] A:FF03 X:0E68 Y:CFB8 S:011A D:0000 DB:86 nvMxdizc V:250 H: 79 F:10
							8490E2 85 03       STA $03       [000003] A:FF03 X:0E68 Y:CFB8 S:011A D:0000 DB:86 nvMxdizc V:250 H: 84 F:10
							8490E4 85 0B       STA $0B       [00000B] A:FF03 X:0E68 Y:CFB8 S:011A D:0000 DB:86 nvMxdizc V:250 H: 89 F:10
							8490E6 A5 00       LDA $00       [000000] A:FF03 X:0E68 Y:CFB8 S:011A D:0000 DB:86 nvMxdizc V:250 H: 94 F:10
							8490E8 29 0F       AND #$0F               A:FF44 X:0E68 Y:CFB8 S:011A D:0000 DB:86 nvMxdizc V:250 H: 99 F:10
							8490EA 1A          INC                    A:FF04 X:0E68 Y:CFB8 S:011A D:0000 DB:86 nvMxdizc V:250 H:102 F:10
							8490EB 85 0C       STA $0C       [00000C] A:FF05 X:0E68 Y:CFB8 S:011A D:0000 DB:86 nvMxdizc V:250 H:105 F:10
							8490ED A5 02       LDA $02       [000002] A:FF05 X:0E68 Y:CFB8 S:011A D:0000 DB:86 nvMxdizc V:250 H:110 F:10
							8490EF 29 0F       AND #$0F               A:FF67 X:0E68 Y:CFB8 S:011A D:0000 DB:86 nvMxdizc V:250 H:115 F:10
							8490F1 1A          INC                    A:FF07 X:0E68 Y:CFB8 S:011A D:0000 DB:86 nvMxdizc V:250 H:118 F:10
							8490F2 85 0E       STA $0E       [00000E] A:FF08 X:0E68 Y:CFB8 S:011A D:0000 DB:86 nvMxdizc V:250 H:121 F:10
							8490F4 C2 20       REP #$20               A:FF08 X:0E68 Y:CFB8 S:011A D:0000 DB:86 nvMxdizc V:250 H:126 F:10
							8490F6 20 6A 91    JSR $916A     [84916A] A:FF08 X:0E68 Y:CFB8 S:011A D:0000 DB:86 nvmxdizc V:250 H:130 F:10

								84916A A9 00 E8    LDA #$E800             A:FF08 X:0E68 Y:CFB8 S:0118 D:0000 DB:86 nvmxdizc V:250 H:150 F:10
								84916D 85 10       STA $10       [000010] A:E800 X:0E68 Y:CFB8 S:0118 D:0000 DB:86 Nvmxdizc V:250 H:155 F:10
								84916F A9 7E 00    LDA #$007E             A:E800 X:0E68 Y:CFB8 S:0118 D:0000 DB:86 Nvmxdizc V:250 H:162 F:10
								849172 85 12       STA $12       [000012] A:007E X:0E68 Y:CFB8 S:0118 D:0000 DB:86 nvmxdizc V:250 H:166 F:10
								849174 A5 02       LDA $02       [000002] A:007E X:0E68 Y:CFB8 S:0118 D:0000 DB:86 nvmxdizc V:250 H:173 F:10
								849176 29 F0 00    AND #$00F0             A:0367 X:0E68 Y:CFB8 S:0118 D:0000 DB:86 nvmxdizc V:250 H:180 F:10
								849179 0A          ASL A                  A:0060 X:0E68 Y:CFB8 S:0118 D:0000 DB:86 nvmxdizc V:250 H:185 F:10
								84917A 85 04       STA $04       [000004] A:00C0 X:0E68 Y:CFB8 S:0118 D:0000 DB:86 nvmxdizc V:250 H:188 F:10
								84917C A5 00       LDA $00       [000000] A:00C0 X:0E68 Y:CFB8 S:0118 D:0000 DB:86 nvmxdizc V:250 H:195 F:10
								84917E 29 FF 00    AND #$00FF             A:1D44 X:0E68 Y:CFB8 S:0118 D:0000 DB:86 nvmxdizc V:250 H:202 F:10
								849181 4A          LSR A                  A:0044 X:0E68 Y:CFB8 S:0118 D:0000 DB:86 nvmxdizc V:250 H:206 F:10
								849182 4A          LSR A                  A:0022 X:0E68 Y:CFB8 S:0118 D:0000 DB:86 nvmxdizc V:250 H:209 F:10
								849183 4A          LSR A                  A:0011 X:0E68 Y:CFB8 S:0118 D:0000 DB:86 nvmxdizc V:250 H:212 F:10
								849184 29 FE FF    AND #$FFFE             A:0008 X:0E68 Y:CFB8 S:0118 D:0000 DB:86 nvmxdizC V:250 H:215 F:10
								849187 18          CLC                    A:0008 X:0E68 Y:CFB8 S:0118 D:0000 DB:86 nvmxdizC V:250 H:220 F:10
