80D4F6 20 30 D5    JSR $D530     [80D530] A:0E01 X:0000 Y:0046 S:0133 D:0E68 DB:86 nvMXdizC V:247 H:115 F:29
				849182 4A          LSR A                  A:0050 X:0E68 Y:C94F S:0119 D:0000 DB:86 nvmxdizc V:250 H: 25 F:29
				849183 4A          LSR A                  A:0028 X:0E68 Y:C94F S:0119 D:0000 DB:86 nvmxdizc V:250 H: 28 F:29
				849184 29 FE FF    AND #$FFFE             A:0014 X:0E68 Y:C94F S:0119 D:0000 DB:86 nvmxdizc V:250 H: 31 F:29
				849187 18          CLC                    A:0014 X:0E68 Y:C94F S:0119 D:0000 DB:86 nvmxdizc V:250 H: 36 F:29
				849188 65 04       ADC $04       [000004] A:0014 X:0E68 Y:C94F S:0119 D:0000 DB:86 nvmxdizc V:250 H: 39 F:29
				84918A 85 06       STA $06       [000006] A:0134 X:0E68 Y:C94F S:0119 D:0000 DB:86 nvmxdizc V:250 H: 46 F:29
				84918C A5 00       LDA $00       [000000] A:0134 X:0E68 Y:C94F S:0119 D:0000 DB:86 nvmxdizc V:250 H: 53 F:29
				84918E EB          XBA                    A:14A0 X:0E68 Y:C94F S:0119 D:0000 DB:86 nvmxdizc V:250 H: 60 F:29
				84918F 29 1F 00    AND #$001F             A:A014 X:0E68 Y:C94F S:0119 D:0000 DB:86 nvmxdizc V:250 H: 64 F:29
				849192 85 04       STA $04       [000004] A:0014 X:0E68 Y:C94F S:0119 D:0000 DB:86 nvmxdizc V:250 H: 69 F:29
				849194 A5 02       LDA $02       [000002] A:0014 X:0E68 Y:C94F S:0119 D:0000 DB:86 nvmxdizc V:250 H: 76 F:29
				849196 29 00 1F    AND #$1F00             A:0A9C X:0E68 Y:C94F S:0119 D:0000 DB:86 nvmxdizc V:250 H: 83 F:29
				849199 4A          LSR A                  A:0A00 X:0E68 Y:C94F S:0119 D:0000 DB:86 nvmxdizc V:250 H: 87 F:29
