80D4F6 20 30 D5    JSR $D530     [80D530] A:0E01 X:0000 Y:00BC S:0133 D:0E68 DB:86 nvMXdizC V:247 H:206 F:25
								849172 85 12       STA $12       [000012] A:007E X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizC V:250 H:129 F:25
								849174 A5 02       LDA $02       [000002] A:007E X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizC V:250 H:146 F:25
								849176 29 F0 00    AND #$00F0             A:039E X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizC V:250 H:153 F:25
								849179 0A          ASL A                  A:0090 X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizC V:250 H:157 F:25
								84917A 85 04       STA $04       [000004] A:0120 X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:250 H:160 F:25
								84917C A5 00       LDA $00       [000000] A:0120 X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:250 H:167 F:25
								84917E 29 FF 00    AND #$00FF             A:1D78 X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:250 H:174 F:25
								849181 4A          LSR A                  A:0078 X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:250 H:179 F:25
								849182 4A          LSR A                  A:003C X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:250 H:182 F:25
								849183 4A          LSR A                  A:001E X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:250 H:185 F:25
								849184 29 FE FF    AND #$FFFE             A:000F X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:250 H:188 F:25
								849187 18          CLC                    A:000E X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:250 H:192 F:25
								849188 65 04       ADC $04       [000004] A:000E X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:250 H:195 F:25
								84918A 85 06       STA $06       [000006] A:012E X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:250 H:202 F:25
								84918C A5 00       LDA $00       [000000] A:012E X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:250 H:209 F:25
								84918E EB          XBA                    A:1D78 X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:250 H:216 F:25
								84918F 29 1F 00    AND #$001F             A:781D X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:250 H:221 F:25
								849192 85 04       STA $04       [000004] A:001D X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:250 H:225 F:25
								849194 A5 02       LDA $02       [000002] A:001D X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:250 H:232 F:25
								849196 29 00 1F    AND #$1F00             A:039E X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:250 H:239 F:25
								849199 4A          LSR A                  A:0300 X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:250 H:244 F:25
								84919A 4A          LSR A                  A:0180 X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:250 H:247 F:25
								84919B 4A          LSR A                  A:00C0 X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:250 H:250 F:25
								84919C 18          CLC                    A:0060 X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:250 H:253 F:25
								84919D 65 04       ADC $04       [000004] A:0060 X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:250 H:256 F:25
								84919F A8          TAY                    A:007D X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:250 H:263 F:25
								8491A0 B7 10       LDA [$10],Y   [7EE87D] A:007D X:0E68 Y:007D S:0119 D:0000 DB:86 nvmxdizc V:250 H:266 F:25
								8491A2 29 FF 00    AND #$00FF             A:0024 X:0E68 Y:007D S:0119 D:0000 DB:86 nvmxdizc V:250 H:279 F:25
								8491A5 A8          TAY                    A:0024 X:0E68 Y:007D S:0119 D:0000 DB:86 nvmxdizc V:250 H:283 F:25
								8491A6 EB          XBA                    A:0024 X:0E68 Y:0024 S:0119 D:0000 DB:86 nvmxdizc V:250 H:286 F:25
								8491A7 0A          ASL A                  A:2400 X:0E68 Y:0024 S:0119 D:0000 DB:86 nvmxdiZc V:250 H:291 F:25
								8491A8 18          CLC                    A:4800 X:0E68 Y:0024 S:0119 D:0000 DB:86 nvmxdizc V:250 H:294 F:25
								8491A9 65 06       ADC $06       [000006] A:4800 X:0E68 Y:0024 S:0119 D:0000 DB:86 nvmxdizc V:250 H:297 F:25
								8491AB AA          TAX                    A:492E X:0E68 Y:0024 S:0119 D:0000 DB:86 nvmxdizc V:250 H:304 F:25
								8491AC 60          RTS                    A:492E X:492E Y:0024 S:0119 D:0000 DB:86 nvmxdizc V:250 H:307 F:25

							8490F9 BF 00 20 7E LDA $7E2000,X [7E692E] A:492E X:492E Y:0024 S:011B D:0000 DB:86 nvmxdizc V:250 H:317 F:25
							8490FD A8          TAY                    A:01B6 X:492E Y:0024 S:011B D:0000 DB:86 nvmxdizc V:250 H:326 F:25
							8490FE AD 92 0B    LDA $0B92     [860B92] A:01B6 X:492E Y:01B6 S:011B D:0000 DB:86 nvmxdizc V:250 H:329 F:25
							849101 85 10       STA $10       [000010] A:EB15 X:492E Y:01B6 S:011B D:0000 DB:86 Nvmxdizc V:250 H:337 F:25
							849103 AD 94 0B    LDA $0B94     [860B94] A:EB15 X:492E Y:01B6 S:011B D:0000 DB:86 Nvmxdizc V:251 H:  4 F:25
