80D4F6 20 30 D5    JSR $D530     [80D530] A:0E01 X:0000 Y:00BC S:0133 D:0E68 DB:86 nvMXdizC V:247 H:212 F:55
							8490BC B5 29       LDA $29,X     [000E91] A:00FC X:0E68 Y:CFD1 S:011B D:0000 DB:86 NvMxdizc V:249 H:182 F:55
							8490BE 10 02       BPL $0002     [8490C2] A:0030 X:0E68 Y:CFD1 S:011B D:0000 DB:86 nvMxdizc V:249 H:188 F:55
							8490C2 18          CLC                    A:0030 X:0E68 Y:CFD1 S:011B D:0000 DB:86 nvMxdizc V:249 H:193 F:55
							8490C3 75 05       ADC $05,X     [000E6D] A:0030 X:0E68 Y:CFD1 S:011B D:0000 DB:86 nvMxdizc V:249 H:196 F:55
							8490C5 85 00       STA $00       [000000] A:00F0 X:0E68 Y:CFD1 S:011B D:0000 DB:86 NvMxdizc V:249 H:202 F:55
							8490C7 B5 06       LDA $06,X     [000E6E] A:00F0 X:0E68 Y:CFD1 S:011B D:0000 DB:86 NvMxdizc V:249 H:207 F:55
							8490C9 65 01       ADC $01       [000001] A:001D X:0E68 Y:CFD1 S:011B D:0000 DB:86 nvMxdizc V:249 H:214 F:55
							8490CB 85 01       STA $01       [000001] A:001D X:0E68 Y:CFD1 S:011B D:0000 DB:86 nvMxdizc V:249 H:219 F:55
							8490CD 64 03       STZ $03       [000003] A:001D X:0E68 Y:CFD1 S:011B D:0000 DB:86 nvMxdizc V:249 H:224 F:55
							8490CF B5 2A       LDA $2A,X     [000E92] A:001D X:0E68 Y:CFD1 S:011B D:0000 DB:86 nvMxdizc V:249 H:229 F:55
							8490D1 10 02       BPL $0002     [8490D5] A:00FC X:0E68 Y:CFD1 S:011B D:0000 DB:86 NvMxdizc V:249 H:235 F:55
							8490D3 C6 03       DEC $03       [000003] A:00FC X:0E68 Y:CFD1 S:011B D:0000 DB:86 NvMxdizc V:249 H:238 F:55
							8490D5 18          CLC                    A:00FC X:0E68 Y:CFD1 S:011B D:0000 DB:86 NvMxdizc V:249 H:247 F:55
							8490D6 75 08       ADC $08,X     [000E70] A:00FC X:0E68 Y:CFD1 S:011B D:0000 DB:86 NvMxdizc V:249 H:250 F:55
							8490D8 85 02       STA $02       [000002] A:009E X:0E68 Y:CFD1 S:011B D:0000 DB:86 NvMxdizC V:249 H:256 F:55
							8490DA 29 F0       AND #$F0               A:009E X:0E68 Y:CFD1 S:011B D:0000 DB:86 NvMxdizC V:249 H:261 F:55
							8490DC 85 0A       STA $0A       [00000A] A:0090 X:0E68 Y:CFD1 S:011B D:0000 DB:86 NvMxdizC V:249 H:264 F:55
							8490DE B5 09       LDA $09,X     [000E71] A:0090 X:0E68 Y:CFD1 S:011B D:0000 DB:86 NvMxdizC V:249 H:269 F:55
							8490E0 65 03       ADC $03       [000003] A:0003 X:0E68 Y:CFD1 S:011B D:0000 DB:86 nvMxdizC V:249 H:276 F:55
							8490E2 85 03       STA $03       [000003] A:0003 X:0E68 Y:CFD1 S:011B D:0000 DB:86 nvMxdizC V:249 H:281 F:55
							8490E4 85 0B       STA $0B       [00000B] A:0003 X:0E68 Y:CFD1 S:011B D:0000 DB:86 nvMxdizC V:249 H:286 F:55
							8490E6 A5 00       LDA $00       [000000] A:0003 X:0E68 Y:CFD1 S:011B D:0000 DB:86 nvMxdizC V:249 H:291 F:55
							8490E8 29 0F       AND #$0F               A:00F0 X:0E68 Y:CFD1 S:011B D:0000 DB:86 NvMxdizC V:249 H:296 F:55
							8490EA 1A          INC                    A:0000 X:0E68 Y:CFD1 S:011B D:0000 DB:86 nvMxdiZC V:249 H:299 F:55
							8490EB 85 0C       STA $0C       [00000C] A:0001 X:0E68 Y:CFD1 S:011B D:0000 DB:86 nvMxdizC V:249 H:302 F:55
							8490ED A5 02       LDA $02       [000002] A:0001 X:0E68 Y:CFD1 S:011B D:0000 DB:86 nvMxdizC V:249 H:307 F:55
							8490EF 29 0F       AND #$0F               A:009E X:0E68 Y:CFD1 S:011B D:0000 DB:86 NvMxdizC V:249 H:312 F:55
							8490F1 1A          INC                    A:000E X:0E68 Y:CFD1 S:011B D:0000 DB:86 nvMxdizC V:249 H:315 F:55
							8490F2 85 0E       STA $0E       [00000E] A:000F X:0E68 Y:CFD1 S:011B D:0000 DB:86 nvMxdizC V:249 H:318 F:55
							8490F4 C2 20       REP #$20               A:000F X:0E68 Y:CFD1 S:011B D:0000 DB:86 nvMxdizC V:249 H:323 F:55
