80D4F6 20 30 D5    JSR $D530     [80D530] A:0E01 X:0000 Y:009B S:0133 D:0E68 DB:86 nvMXdizC V:247 H:163 F:14
				8490BE 10 02       BPL $0002     [8490C2] A:FFF4 X:0E68 Y:C58D S:011B D:0000 DB:86 NvMxdizc V:249 H: 28 F:14
				8490C0 C6 01       DEC $01       [000001] A:FFF4 X:0E68 Y:C58D S:011B D:0000 DB:86 NvMxdizc V:249 H: 31 F:14
				8490C2 18          CLC                    A:FFF4 X:0E68 Y:C58D S:011B D:0000 DB:86 NvMxdizc V:249 H: 40 F:14
				8490C3 75 05       ADC $05,X     [000E6D] A:FFF4 X:0E68 Y:C58D S:011B D:0000 DB:86 NvMxdizc V:249 H: 43 F:14
				8490C5 85 00       STA $00       [000000] A:FF61 X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdizC V:249 H: 49 F:14
				8490C7 B5 06       LDA $06,X     [000E6E] A:FF61 X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdizC V:249 H: 54 F:14
				8490C9 65 01       ADC $01       [000001] A:FF07 X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdizC V:249 H: 61 F:14
				8490CB 85 01       STA $01       [000001] A:FF07 X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdizC V:249 H: 66 F:14
				8490CD 64 03       STZ $03       [000003] A:FF07 X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdizC V:249 H: 71 F:14
				8490CF B5 2A       LDA $2A,X     [000E92] A:FF07 X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdizC V:249 H: 76 F:14
				8490D1 10 02       BPL $0002     [8490D5] A:FF02 X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdizC V:249 H: 82 F:14
				8490D5 18          CLC                    A:FF02 X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdizC V:249 H: 87 F:14
