80D4F6 20 30 D5    JSR $D530     [80D530] A:0E01 X:0000 Y:009B S:0133 D:0E68 DB:86 nvMXdizC V:255 H:162 F:59
				8491AC 60          RTS                    A:074E X:074E Y:0003 S:0119 D:0000 DB:86 nvmxdizc V:258 H: 30 F:59

				8490F9 BF 00 20 7E LDA $7E2000,X [7E274E] A:074E X:074E Y:0003 S:011B D:0000 DB:86 nvmxdizc V:258 H: 40 F:59
				8490FD A8          TAY                    A:027E X:074E Y:0003 S:011B D:0000 DB:86 nvmxdizc V:258 H: 50 F:59
				8490FE AD 92 0B    LDA $0B92     [860B92] A:027E X:074E Y:027E S:011B D:0000 DB:86 nvmxdizc V:258 H: 53 F:59
				849101 85 10       STA $10       [000010] A:F0A5 X:074E Y:027E S:011B D:0000 DB:86 Nvmxdizc V:258 H: 61 F:59
				849103 AD 94 0B    LDA $0B94     [860B94] A:F0A5 X:074E Y:027E S:011B D:0000 DB:86 Nvmxdizc V:258 H: 68 F:59
				849106 85 12       STA $12       [000012] A:6895 X:074E Y:027E S:011B D:0000 DB:86 nvmxdizc V:258 H: 77 F:59
				849108 B7 10       LDA [$10],Y   [95F323] A:6895 X:074E Y:027E S:011B D:0000 DB:86 nvmxdizc V:258 H: 84 F:59
				84910A 29 FF 00    AND #$00FF             A:0000 X:074E Y:027E S:011B D:0000 DB:86 nvmxdiZc V:258 H: 96 F:59
				84910D 28          PLP                    A:0000 X:074E Y:027E S:011B D:0000 DB:86 nvmxdiZc V:258 H:100 F:59
				84910E FA          PLX                    A:0000 X:074E Y:027E S:011C D:0000 DB:86 nvMxdizc V:258 H:107 F:59
				84910F 2B          PLD                    A:0000 X:0E68 Y:027E S:011E D:0000 DB:86 nvMxdizc V:258 H:115 F:59
				849110 60          RTS                    A:0000 X:0E68 Y:027E S:0120 D:0000 DB:86 nvMxdiZc V:258 H:124 F:59

				849318 B4 05       LDY $05,X     [000E6D] A:0000 X:0E68 Y:027E S:0122 D:0000 DB:86 nvMxdiZc V:258 H:134 F:59
				84931A 84 10       STY $10       [000010] A:0000 X:0E68 Y:078B S:0122 D:0000 DB:86 nvMxdizc V:258 H:152 F:59
				84931C B4 08       LDY $08,X     [000E70] A:0000 X:0E68 Y:078B S:0122 D:0000 DB:86 nvMxdizc V:258 H:159 F:59
				84931E 84 12       STY $12       [000012] A:0000 X:0E68 Y:00A8 S:0122 D:0000 DB:86 nvMxdizc V:258 H:168 F:59
				849320 95 2D       STA $2D,X     [000E95] A:0000 X:0E68 Y:00A8 S:0122 D:0000 DB:86 nvMxdizc V:258 H:175 F:59
				849322 86 2C       STX $2C       [00002C] A:0000 X:0E68 Y:00A8 S:0122 D:0000 DB:86 nvMxdizc V:258 H:181 F:59
				849324 29 3F       AND #$3F               A:0000 X:0E68 Y:00A8 S:0122 D:0000 DB:86 nvMxdizc V:258 H:188 F:59
				849326 0A          ASL A                  A:0000 X:0E68 Y:00A8 S:0122 D:0000 DB:86 nvMxdiZc V:258 H:191 F:59
				849327 EB          XBA                    A:0000 X:0E68 Y:00A8 S:0122 D:0000 DB:86 nvMxdiZc V:258 H:194 F:59
				849328 A9 00       LDA #$00               A:0000 X:0E68 Y:00A8 S:0122 D:0000 DB:86 nvMxdiZc V:258 H:199 F:59
				84932A EB          XBA                    A:0000 X:0E68 Y:00A8 S:0122 D:0000 DB:86 nvMxdiZc V:258 H:202 F:59
				84932B AA          TAX                    A:0000 X:0E68 Y:00A8 S:0122 D:0000 DB:86 nvMxdiZc V:258 H:206 F:59
				84932C FC 5D 93    JSR ($935D,X) [84935D] A:0000 X:0000 Y:00A8 S:0122 D:0000 DB:86 nvMxdiZc V:258 H:209 F:59

				84977A A9 00       LDA #$00               A:0000 X:0000 Y:00A8 S:0120 D:0000 DB:86 nvMxdiZc V:258 H:222 F:59
				84977C 60          RTS                    A:0000 X:0000 Y:00A8 S:0120 D:0000 DB:86 nvMxdiZc V:258 H:225 F:59

				84932F 08          PHP                    A:0000 X:0000 Y:00A8 S:0122 D:0000 DB:86 nvMxdiZc V:258 H:235 F:59
				849330 A6 2C       LDX $2C       [00002C] A:0000 X:0000 Y:00A8 S:0121 D:0000 DB:86 nvMxdiZc V:258 H:240 F:59
				849332 A9 01       LDA #$01               A:0000 X:0E68 Y:00A8 S:0121 D:0000 DB:86 nvMxdizc V:258 H:247 F:59
				849334 34 29       BIT $29,X     [000E91] A:0001 X:0E68 Y:00A8 S:0121 D:0000 DB:86 nvMxdizc V:258 H:250 F:59
				849336 10 02       BPL $0002     [84933A] A:0001 X:0E68 Y:00A8 S:0121 D:0000 DB:86 NVMxdiZc V:258 H:257 F:59
				849338 A9 02       LDA #$02               A:0001 X:0E68 Y:00A8 S:0121 D:0000 DB:86 NVMxdiZc V:258 H:260 F:59
				84933A 28          PLP                    A:0002 X:0E68 Y:00A8 S:0121 D:0000 DB:86 nVMxdizc V:258 H:263 F:59
				84933B F0 0C       BEQ $000C     [849349] A:0002 X:0E68 Y:00A8 S:0122 D:0000 DB:86 nvMxdiZc V:258 H:269 F:59
				849349 49 FF       EOR #$FF               A:0002 X:0E68 Y:00A8 S:0122 D:0000 DB:86 nvMxdiZc V:258 H:274 F:59
				84934B 35 2B       AND $2B,X     [000E93] A:00FD X:0E68 Y:00A8 S:0122 D:0000 DB:86 NvMxdizc V:258 H:277 F:59
				84934D 95 2B       STA $2B,X     [000E93] A:0000 X:0E68 Y:00A8 S:0122 D:0000 DB:86 nvMxdiZc V:258 H:283 F:59
				84934F 20 08 93    JSR $9308     [849308] A:0000 X:0E68 Y:00A8 S:0122 D:0000 DB:86 nvMxdiZc V:258 H:290 F:59

				849308 A5 14       LDA $14       [000014] A:0000 X:0E68 Y:00A8 S:0120 D:0000 DB:86 nvMxdiZc V:258 H:300 F:59
				84930A F0 08       BEQ $0008     [849314] A:0000 X:0E68 Y:00A8 S:0120 D:0000 DB:86 nvMxdiZc V:258 H:305 F:59
				849314 60          RTS                    A:0000 X:0E68 Y:00A8 S:0120 D:0000 DB:86 nvMxdiZc V:258 H:309 F:59

