80D4F6 20 30 D5    JSR $D530     [80D530] A:0E01 X:0000 Y:0091 S:0133 D:0E68 DB:86 nvMXdizC V:247 H:164 F: 0
				849103 AD 94 0B    LDA $0B94     [860B94] A:F0A5 X:0758 Y:0289 S:011B D:0000 DB:86 Nvmxdizc V:250 H: 70 F: 0
				849106 85 12       STA $12       [000012] A:6895 X:0758 Y:0289 S:011B D:0000 DB:86 nvmxdizc V:250 H: 78 F: 0
				849108 B7 10       LDA [$10],Y   [95F32E] A:6895 X:0758 Y:0289 S:011B D:0000 DB:86 nvmxdizc V:250 H: 85 F: 0
				84910A 29 FF 00    AND #$00FF             A:0000 X:0758 Y:0289 S:011B D:0000 DB:86 nvmxdiZc V:250 H: 97 F: 0
				84910D 28          PLP                    A:0000 X:0758 Y:0289 S:011B D:0000 DB:86 nvmxdiZc V:250 H:102 F: 0
				84910E FA          PLX                    A:0000 X:0758 Y:0289 S:011C D:0000 DB:86 nvMxdizc V:250 H:108 F: 0
				84910F 2B          PLD                    A:0000 X:0E68 Y:0289 S:011E D:0000 DB:86 nvMxdizc V:250 H:117 F: 0
				849110 60          RTS                    A:0000 X:0E68 Y:0289 S:0120 D:0000 DB:86 nvMxdiZc V:250 H:125 F: 0

				849318 B4 05       LDY $05,X     [000E6D] A:0000 X:0E68 Y:0289 S:0122 D:0000 DB:86 nvMxdiZc V:250 H:145 F: 0
				84931A 84 10       STY $10       [000010] A:0000 X:0E68 Y:07CC S:0122 D:0000 DB:86 nvMxdizc V:250 H:154 F: 0
				84931C B4 08       LDY $08,X     [000E70] A:0000 X:0E68 Y:07CC S:0122 D:0000 DB:86 nvMxdizc V:250 H:161 F: 0
				84931E 84 12       STY $12       [000012] A:0000 X:0E68 Y:00A8 S:0122 D:0000 DB:86 nvMxdizc V:250 H:169 F: 0
				849320 95 2D       STA $2D,X     [000E95] A:0000 X:0E68 Y:00A8 S:0122 D:0000 DB:86 nvMxdizc V:250 H:176 F: 0
				849322 86 2C       STX $2C       [00002C] A:0000 X:0E68 Y:00A8 S:0122 D:0000 DB:86 nvMxdizc V:250 H:183 F: 0
				849324 29 3F       AND #$3F               A:0000 X:0E68 Y:00A8 S:0122 D:0000 DB:86 nvMxdizc V:250 H:190 F: 0
