80D4F6 20 30 D5    JSR $D530     [80D530] A:0E01 X:0000 Y:0027 S:0133 D:0E68 DB:86 nvMXdizC V:248 H:241 F: 8
			81BA3F 90 D5       BCC $00D5     [81BA16] A:15E8 X:15E8 Y:0027 S:012C D:0E68 DB:86 Nvmxdizc V:250 H:189 F: 8
			81BA16 E2 20       SEP #$20               A:15E8 X:15E8 Y:0027 S:012C D:0E68 DB:86 Nvmxdizc V:250 H:194 F: 8
			81BA18 BD 00 00    LDA $0000,X   [8615E8] A:15E8 X:15E8 Y:0027 S:012C D:0E68 DB:86 NvMxdizc V:250 H:198 F: 8
			81BA1B F0 17       BEQ $0017     [81BA34] A:1500 X:15E8 Y:0027 S:012C D:0E68 DB:86 nvMxdiZc V:250 H:206 F: 8
			81BA34 C2 20       REP #$20               A:1500 X:15E8 Y:0027 S:012C D:0E68 DB:86 nvMxdiZc V:250 H:211 F: 8
			81BA36 8A          TXA                    A:1500 X:15E8 Y:0027 S:012C D:0E68 DB:86 nvmxdiZc V:250 H:215 F: 8
			81BA37 18          CLC                    A:15E8 X:15E8 Y:0027 S:012C D:0E68 DB:86 nvmxdizc V:250 H:218 F: 8
			81BA38 69 40 00    ADC #$0040             A:15E8 X:15E8 Y:0027 S:012C D:0E68 DB:86 nvmxdizc V:250 H:221 F: 8
			81BA3B AA          TAX                    A:1628 X:15E8 Y:0027 S:012C D:0E68 DB:86 nvmxdizc V:250 H:226 F: 8
			81BA3C C9 28 16    CMP #$1628             A:1628 X:1628 Y:0027 S:012C D:0E68 DB:86 nvmxdizc V:250 H:229 F: 8
			81BA3F 90 D5       BCC $00D5     [81BA16] A:1628 X:1628 Y:0027 S:012C D:0E68 DB:86 nvmxdiZC V:250 H:233 F: 8		
			81BA41 E2 30       SEP #$30               A:1628 X:1628 Y:0027 S:012C D:0E68 DB:86 nvmxdiZC V:250 H:236 F: 8		A:1B,X:1B
			81BA43 A9 01       LDA #$01               A:1628 X:0028 Y:0027 S:012C D:0E68 DB:86 nvMXdiZC V:250 H:241 F: 8		
			81BA45 22 07 8F 84 JSL $848F07   [848F07] A:1601 X:0028 Y:0027 S:012C D:0E68 DB:86 nvMXdizC V:250 H:244 F: 8		JSL: $848F07 --> Countdown routine (CDBase = #$67, b = A = #$01)

				848F07 08          PHP                    A:1601 X:0028 Y:0027 S:0129 D:0E68 DB:86 nvMXdizC V:250 H:257 F: 8
				848F08 8B          PHB                    A:1601 X:0028 Y:0027 S:0128 D:0E68 DB:86 nvMXdizC V:250 H:262 F: 8
				848F09 C2 30       REP #$30               A:1601 X:0028 Y:0027 S:0127 D:0E68 DB:86 nvMXdizC V:250 H:267 F: 8
				848F0B 8D 0E 00    STA $000E     [86000E] A:1601 X:0028 Y:0027 S:0127 D:0E68 DB:86 nvmxdizC V:250 H:272 F: 8
				848F0E A5 16       LDA $16       [000E7E] A:1601 X:0028 Y:0027 S:0127 D:0E68 DB:86 nvmxdizC V:250 H:280 F: 8
				848F10 29 FF 00    AND #$00FF             A:8067 X:0028 Y:0027 S:0127 D:0E68 DB:86 NvmxdizC V:250 H:289 F: 8
				848F13 8D 0C 00    STA $000C     [86000C] A:0067 X:0028 Y:0027 S:0127 D:0E68 DB:86 nvmxdizC V:250 H:293 F: 8
				848F16 0A          ASL A                  A:0067 X:0028 Y:0027 S:0127 D:0E68 DB:86 nvmxdizC V:250 H:302 F: 8
				848F17 18          CLC                    A:00CE X:0028 Y:0027 S:0127 D:0E68 DB:86 nvmxdizc V:250 H:305 F: 8
				848F18 6D 0C 00    ADC $000C     [86000C] A:00CE X:0028 Y:0027 S:0127 D:0E68 DB:86 nvmxdizc V:250 H:308 F: 8
				848F1B AA          TAX                    A:0135 X:0028 Y:0027 S:0127 D:0E68 DB:86 nvmxdizc V:250 H:316 F: 8
				848F1C BF 00 A0 AF LDA $AFA000,X [AFA135] A:0135 X:0135 Y:0027 S:0127 D:0E68 DB:86 nvmxdizc V:250 H:319 F: 8
				848F20 85 14       STA $14       [000E7C] A:CFE0 X:0135 Y:0027 S:0127 D:0E68 DB:86 Nvmxdizc V:250 H:327 F: 8
				848F22 E2 20       SEP #$20               A:CFE0 X:0135 Y:0027 S:0127 D:0E68 DB:86 Nvmxdizc V:250 H:336 F: 8
				848F24 BF 02 A0 AF LDA $AFA002,X [AFA137] A:CFE0 X:0135 Y:0027 S:0127 D:0E68 DB:86 NvMxdizc V:251 H:  0 F: 8
				848F28 48          PHA                    A:CFAF X:0135 Y:0027 S:0127 D:0E68 DB:86 NvMxdizc V:251 H:  8 F: 8
				848F29 AB          PLB                    A:CFAF X:0135 Y:0027 S:0126 D:0E68 DB:86 NvMxdizc V:251 H: 13 F: 8
				848F2A C2 20       REP #$20               A:CFAF X:0135 Y:0027 S:0127 D:0E68 DB:AF NvMxdizc V:251 H: 19 F: 8
				848F2C AD 0E 00    LDA $000E     [AF000E] A:CFAF X:0135 Y:0027 S:0127 D:0E68 DB:AF Nvmxdizc V:251 H: 24 F: 8
				848F2F 29 FF 00    AND #$00FF             A:1601 X:0135 Y:0027 S:0127 D:0E68 DB:AF nvmxdizc V:251 H: 32 F: 8
				848F32 0A          ASL A                  A:0001 X:0135 Y:0027 S:0127 D:0E68 DB:AF nvmxdizc V:251 H: 37 F: 8
				848F33 A8          TAY                    A:0002 X:0135 Y:0027 S:0127 D:0E68 DB:AF nvmxdizc V:251 H: 40 F: 8
				848F34 B1 14       LDA ($14),Y   [AFCFE2] A:0002 X:0135 Y:0002 S:0127 D:0E68 DB:AF nvmxdizc V:251 H: 43 F: 8
				848F36 65 14       ADC $14       [000E7C] A:0048 X:0135 Y:0002 S:0127 D:0E68 DB:AF nvmxdizc V:251 H: 56 F: 8
				848F38 85 14       STA $14       [000E7C] A:D028 X:0135 Y:0002 S:0127 D:0E68 DB:AF Nvmxdizc V:251 H: 64 F: 8
				848F3A E2 30       SEP #$30               A:D028 X:0135 Y:0002 S:0127 D:0E68 DB:AF Nvmxdizc V:251 H: 73 F: 8
				848F3C B2 14       LDA ($14)     [AFD028] A:D028 X:0035 Y:0002 S:0127 D:0E68 DB:AF NvMXdizc V:251 H: 77 F: 8	Skeleton start: [AFD028]
				848F3E 85 13       STA $13       [000E7B] A:D00B X:0035 Y:0002 S:0127 D:0E68 DB:AF nvMXdizc V:251 H: 87 F: 8
				848F40 A0 01       LDY #$01               A:D00B X:0035 Y:0002 S:0127 D:0E68 DB:AF nvMXdizc V:251 H: 94 F: 8
				848F42 B1 14       LDA ($14),Y   [AFD029] A:D00B X:0035 Y:0001 S:0127 D:0E68 DB:AF nvMXdizc V:251 H: 97 F: 8
				848F44 85 0F       STA $0F       [000E77] A:D000 X:0035 Y:0001 S:0127 D:0E68 DB:AF nvMXdiZc V:251 H:107 F: 8
				848F46 C8          INY                    A:D000 X:0035 Y:0001 S:0127 D:0E68 DB:AF nvMXdiZc V:251 H:113 F: 8
				848F47 B1 14       LDA ($14),Y   [AFD02A] A:D000 X:0035 Y:0002 S:0127 D:0E68 DB:AF nvMXdizc V:251 H:116 F: 8
				848F49 85 17       STA $17       [000E7F] A:D000 X:0035 Y:0002 S:0127 D:0E68 DB:AF nvMXdiZc V:251 H:126 F: 8
				848F4B A9 80       LDA #$80               A:D000 X:0035 Y:0002 S:0127 D:0E68 DB:AF nvMXdiZc V:251 H:133 F: 8
				848F4D 04 17       TSB $17       [000E7F] A:D080 X:0035 Y:0002 S:0127 D:0E68 DB:AF NvMXdizc V:251 H:146 F: 8
				848F4F AB          PLB                    A:D080 X:0035 Y:0002 S:0127 D:0E68 DB:AF NvMXdiZc V:251 H:156 F: 8
				848F50 28          PLP                    A:D080 X:0035 Y:0002 S:0128 D:0E68 DB:86 NvMXdizc V:251 H:162 F: 8
				848F51 6B          RTL                    A:D080 X:0035 Y:0002 S:0129 D:0E68 DB:86 nvMXdizC V:251 H:169 F: 8

			81BA49 A9 02       LDA #$02               A:D080 X:0035 Y:0002 S:012C D:0E68 DB:86 nvMXdizC V:251 H:179 F: 8		Subaction = #$02
			81BA4B 85 03       STA $03       [000E6B] A:D002 X:0035 Y:0002 S:012C D:0E68 DB:86 nvMXdizC V:251 H:182 F: 8
			81BA4D 60          RTS                    A:D002 X:0035 Y:0002 S:012C D:0E68 DB:86 nvMXdizC V:251 H:189 F: 8		Return

		81B63B A9 09       LDA #$09               A:D002 X:0035 Y:0002 S:012E D:0E68 DB:86 nvMXdizC V:251 H:199 F: 8
